"X"	gene	Excel_gene	exTh17	YFPNeg	Th17	LN_Naive	LN_Memory
42	Xkr9	'Xkr9	0	0	0	0	0
43	Gm25491	'Gm25491	0	0	0	0	0
44	Gm22616	'Gm22616	0	0	0	0	0
45	Gm9947	'Gm9947	0	0	0	0	0
46	Rpl5-ps1	'Rpl5-ps1	0.139318	0	0.0651683	0.232676	0.126613
47	Kcnb2	'Kcnb2	0	0	0	0	0
48	Gm25168	'Gm25168	0	0	0	0	0
49	Terf1	'Terf1	10.2897	12.1208	13.5713	10.1514	12.1315
50	Gm23259	'Gm23259	0	0	0	0	0
51	Rdh10	'Rdh10	0.94852	0.529028	0.197268	0.513603	0.297434
52	Gm7568	'Gm7568	0	0	0	0	0
53	Stau2	'Stau2	0.610131	0	0	0	0
54	D030040B21Rik	'D030040B21Rik	0	0	0	0	0
55	Tmem70	'Tmem70	7.82884	5.55387	3.50203	8.33338	6.43368
56	Ly96	'Ly96	11.7754	10.5879	11.3345	5.08627	28.41
57	Gdap1	'Gdap1	0	0	0	0	0
58	Gm25166	'Gm25166	0	0	0	0	0
59	Pi15	'Pi15	0.00182612	0	0	0	0
60	Crispld1	'Crispld1	0	0	0	0	0
61	Tfap2d	'Tfap2d	0	0.0119902	0	0	0
62	Tfap2b	'Tfap2b	0	0	0	0	0
63	4930486I03Rik	'4930486I03Rik	0	0	0	0	0
64	Mir206	'Mir206	0	0	0	0	0
65	Mir133b	'Mir133b	0	0	0	0	0
66	Il17a	'Il17a	109.47	27.2826	546.302	0	0.0928874
67	Paqr8	'Paqr8	2.27903	0.456271	0.918846	0.577421	0.893665
68	Efhc1	'Efhc1	0.323119	0	0	0	0.00676804
69	Tmem14a	'Tmem14a	0.313429	0	5.76069	1.31921	3.85406
70	Gsta3	'Gsta3	1.0739	0	0	0	0.0810624
71	Gm7094	'Gm7094	0.0359995	0.0457315	0	0	0.0231255
72	Khdc1a	'Khdc1a	0	0	0	0	0
73	Gm16329	'Gm16329	0	0	0	0	0
74	Gm16327	'Gm16327	0	0	0	0	0
75	Khdc1c	'Khdc1c	0	0	0	0	0
76	Gm2709	'Gm2709	0	0	0	0	0
77	Gm16533	'Gm16533	0	0	0	0	0
78	Khdc1b	'Khdc1b	0	0	0	0	0
79	Gm16328	'Gm16328	0	0	0	0	0
80	Gm26580	'Gm26580	0	0.143074	0	0.373396	0.305275
81	Gm26866	'Gm26866	0	0	0	0	0
82	Gm24176	'Gm24176	0	0	0	0	0
83	Mir30a	'Mir30a	0	0	0	0	0
84	Gm27028	'Gm27028	0	0	0	0	0
85	Gm7784	'Gm7784	0	0	0	0	0
86	B3gat2	'B3gat2	0.172726	0.311745	0.608814	0	0.229224
87	Gm26524	'Gm26524	0.937449	1.19492	3.23855	2.61458	3.18293
88	Gm26607	'Gm26607	0	0	0	0	0
89	Col9a1	'Col9a1	0	0	0	0	0
90	Lmbrd1	'Lmbrd1	12.3578	11.5671	14.8413	14.1104	12.5863
91	Gm15702	'Gm15702	0	0	0	0	0
92	Gm25294	'Gm25294	0	0	0	0	0
93	Gm9884	'Gm9884	0	0	0	0	0
94	Gm24064	'Gm24064	0	0	0	0	0
95	Gm6462	'Gm6462	0	0	0	0	0
96	Gm22679	'Gm22679	0	0	0	0	0
97	mmu-mir-6342	'mmu-mir-6342	0	0	0	0	0
98	Gm23771	'Gm23771	0	0	0	0	0
99	Lgsn	'Lgsn	0	0	0	0	0
100	Pih1d3	'Pih1d3	0	0	0	0	0
101	Gm6489	'Gm6489	0	0	0	0	0
102	Gm10307	'Gm10307	0.0463819	0.0661954	0.117614	0.0172596	0.021949
103	Gm7910	'Gm7910	0	0	0	0	0
104	Khdrbs2	'Khdrbs2	0	0	0	0	0
105	Gm23024	'Gm23024	0	0	0	0	0
106	Gm24901	'Gm24901	0	0	0	0	0
107	Gm25792	'Gm25792	0	0	0	0	0
108	Gm23453	'Gm23453	0	0	0	0	0
109	1700001G17Rik	'1700001G17Rik	0.225282	0.107627	0	1.43981	0.393021
110	Rab23	'Rab23	1.4275	2.73631	1.26263	0.514909	2.50547
111	Dst	'Dst	1.17317	0.275115	0.579954	0.0724232	0.588479
112	D630036G22Rik	'D630036G22Rik	0	0.0449157	0.0466902	0	0.00650337
113	Imp4	'Imp4	68.107	65.9493	80.1057	52.0952	38.6291
114	Ptpn18	'Ptpn18	51.2909	70.0894	54.0153	117.082	42.8623
115	Prss39	'Prss39	0	0	0	0	0
116	Cfc1	'Cfc1	0	0	0	0	0
117	Amer3	'Amer3	0	0	0	0	0
118	Arhgef4,C230030N03Rik	'\Arhgef4,C230030N03Rik\	0.342528	0.0492667	0.0376556	1.29761	1.37659
119	Plekhb2	'Plekhb2	54.4906	31.2416	43.3007	16.6175	39.3976
120	Gm25634	'Gm25634	0	0	0	0	0
121	Hs6st1	'Hs6st1	6.95635	6.24771	3.5602	4.98944	3.0164
122	Arid5a	'Arid5a	334.062	310.81	366.47	60.2864	30.756
123	Fer1l5	'Fer1l5	0.0312652	0.0592507	0	0.0152383	0.183897
124	Cnnm4	'Cnnm4	26.0546	18.1465	12.1258	2.39484	3.39873
125	Cnnm3	'Cnnm3	1.69329	1.85529	1.3841	2.55198	2.78808
126	D430040D24Rik	'D430040D24Rik	0	0	0	0	0
127	Gm6428	'Gm6428	0	0	0	0	0
128	Gm24133	'Gm24133	0	0	0	0	0
129	Cox5b	'Cox5b	266.149	311.506	391.114	202.799	209.019
130	Zap70	'Zap70	99.9241	76.6128	126.226	76.1767	128.242
131	n-R5s210	'n-R5s210	0	0	0	0	0
132	Vwa3b	'Vwa3b	0.167716	0.470092	0	2.1295	0.0616435
133	Vwa3b	'Vwa3b	0	0	0	0	0.090257
134	Cnga3	'Cnga3	0	0.00830436	0	0	0
135	Inpp4a	'Inpp4a	6.94752	6.06582	3.14235	4.77915	4.49622
136	Unc50	'Unc50	45.2914	47.0882	37.5261	41.5738	30.3581
137	4930556I23Rik	'4930556I23Rik	0.470185	0	0	0.293888	0.263014
138	Gm26805	'Gm26805	0	0	0	0	0
139	Lipt1	'Lipt1	0.421435	1.15224	2.2661	5.5837	1.68135
140	Mrpl30	'Mrpl30	99.0803	177.014	202.123	288.479	239.579
141	Gm15457	'Gm15457	0	0	0	0	0.00700231
142	Gm23409	'Gm23409	0	0	0	0	0
143	Eif5b	'Eif5b	13.1867	13.8763	13.8354	13.4344	10.6705
144	Gm16150	'Gm16150	0.177876	0.680155	0	0.973974	0.849839
145	Gm16151	'Gm16151	0.131491	0	0	0.0493057	0.19816
146	Gm16152	'Gm16152	0.102628	0	0.201501	1.86887	1.16652
147	Nms	'Nms	0	0	0	0	0
148	Pdcl3	'Pdcl3	47.344	54.7464	66.7229	65.3643	40.6541
149	Npas2	'Npas2	0.12412	0.075651	0.0884162	0.00986845	0.124153
150	Gm3617	'Gm3617	0	0	0	0	0
151	Rpl31	'Rpl31	438.05	713.244	455.288	1293.2	906.63
152	Gm24826	'Gm24826	0	0	0	0	0
153	Cnot11	'Cnot11	5.98203	2.76921	4.60376	2.53687	4.98906
154	D930019O06Rik	'D930019O06Rik	0.151722	0	0	0	0.00768973
155	Map4k4	'Map4k4	3.65448	4.71089	9.08537	4.82627	5.88047
156	Il1r2	'Il1r2	69.034	68.1075	308.514	0.107362	20.3348
157	Il1r1	'Il1r1	12.5227	4.66388	15.8987	0.381485	1.36155
158	Il1rl2	'Il1rl2	2.19717	1.09085	0.217784	2.63414	2.97288
159	Il18r1,Il1rl1	'\Il18r1,Il1rl1\	68.8377	44.4562	36.1098	4.50449	9.60824
160	Il18rap	'Il18rap	10.8145	8.73735	5.61797	0.751814	1.39833
161	Slc9a4	'Slc9a4	0.768407	0.714164	0	0	0
162	Slc9a2	'Slc9a2	0.237382	0	0	0	0
163	Tmem182	'Tmem182	0	0	0	0	0
164	Gm9915	'Gm9915	0	0	0	0	0
165	Gm20646	'Gm20646	0	0	0	0	0
166	Pou3f3	'Pou3f3	0	0	0	0	0
167	Mrps9	'Mrps9	22.0072	23.7216	25.1068	26.0987	33.6594
168	Gpr45	'Gpr45	0	0	0	0	0
169	Gm24001	'Gm24001	0	0	0	0	0
170	8430432A02Rik	'8430432A02Rik	0	0	0	0	0
171	AI597479	'AI597479	1.82277	1.72869	1.30279	1.22692	3.19439
172	Gm8210	'Gm8210	0	0	0	0	0
173	Nck2	'Nck2	2.1817	4.88669	4.40356	6.80717	10.7132
174	1500015O10Rik	'1500015O10Rik	0	0	0	0.0283037	0
175	Uxs1	'Uxs1	0.172637	0.190002	0	0.896621	0.315158
176	Gm16103	'Gm16103	0	0	0	0	0
177	Gm26352	'Gm26352	0	0	0	0	0
178	Tpp2	'Tpp2	20.6214	20.4935	16.4057	19.9968	14.1255
179	Bivm	'Bivm	1.5282	0.0819645	2.02176	1.70394	0.752822
180	Ercc5	'Ercc5	3.89769	3.417	2.29127	2.02499	3.35314
181	Gm15833	'Gm15833	0	0	0	0	0
182	Gulp1	'Gulp1	0	0.021836	0	0	0.0369327
183	Gm16102	'Gm16102	0	0	0	0	0
184	Col3a1	'Col3a1	0	0.00712235	0	0	0.0499291
185	Gm23974	'Gm23974	0	0	0	0	0
186	Gm23984	'Gm23984	0	0	0	0	0
187	Wdr75	'Wdr75	8.12806	9.3142	4.66534	10.5109	12.2541
188	Rpl23a-ps1	'Rpl23a-ps1	0.0337547	0.0613202	0	0.369241	0.127783
189	Dnah7b	'Dnah7b	0.00101638	0	0	0	0
190	n-R5s211	'n-R5s211	0	0	0	0	0
191	Dnah7c	'Dnah7c	0	0	0	0	0
192	Gm8357	'Gm8357	0	0	0	0	0
193	Gm22693	'Gm22693	0	0	0	0	0
194	C230029F24Rik	'C230029F24Rik	0.157912	0.22629	0.899062	0.81477	0.429674
195	Gm25843	'Gm25843	0	0	0	0	0
196	Tmeff2	'Tmeff2	0.183625	0.200692	0	0	0
197	Gm25736	'Gm25736	0	0	0	0	19.6611
198	Sdpr	'Sdpr	0.133203	0.446944	0	0	0
199	Stat4	'Stat4	59.4451	76.7227	38.4409	32.237	34.2408
200	Stat1	'Stat1	112.688	77.0943	81.4138	197.801	175.112
201	Nab1	'Nab1	1.11682	0.673087	2.22967	0.574471	0.983552
202	Tmem194b	'Tmem194b	7.55166	5.71375	2.22445	4.71542	5.77094
203	Mfsd6	'Mfsd6	1.44996	1.31013	0.156772	0.403828	0.836582
204	Hibch	'Hibch	4.51383	7.57998	3.65307	18.0141	12.0098
205	Mstn	'Mstn	0	0	0	0	0.0798203
206	Gm24349	'Gm24349	0	0	0	0	0
207	Ormdl1	'Ormdl1	30.698	31.9669	28.5625	21.9482	24.354
208	Osgepl1	'Osgepl1	4.19791	2.55107	4.25519	7.82198	4.19459
209	mmu-mir-7681	'mmu-mir-7681	0.854691	0	0	0	0
210	mmu-mir-7681	'mmu-mir-7681	0	0	0	0	0
211	Ccdc150	'Ccdc150	0	0	0	0	0.00778384
212	Gm24053	'Gm24053	0	0	0	0	0
213	Coq10b	'Coq10b	59.4639	74.0879	93.7099	3.84513	8.04095
214	Hspe1	'Hspe1	157.771	236.806	184.335	291.822	329.521
215	Gm16581	'Gm16581	0	0	0	0	0
216	Mob4	'Mob4	45.1229	66.0764	44.4043	40.255	41.8518
217	Gm10561	'Gm10561	0.0137879	0	0	0	0.0904131
218	Mars2	'Mars2	3.46486	3.04776	2.28693	2.84855	3.18267
219	Gm8292	'Gm8292	4.01614	4.03139	6.08559	2.63214	3.09067
220	Plcl1	'Plcl1	0.39457	0.641576	0.125769	0.0115732	0.443796
221	9130024F11Rik	'9130024F11Rik	0	0	0	0	0
222	1700066M21Rik	'1700066M21Rik	0.786326	0.816041	4.35519	0.32386	0.552036
223	9430016H08Rik	'9430016H08Rik	5.17229	8.56048	6.84781	8.69752	8.27238
224	Gm24014	'Gm24014	0	0	0	0	0
225	Spats2l	'Spats2l	0.0956761	0.0422491	0	0.0518903	0.50628
226	Sgol2	'Sgol2	0.227187	0.475077	1.40553	0.0554955	1.11244
227	Aox1	'Aox1	0.0144034	0.00363102	0	0.00454991	0.0076192
228	Aox3	'Aox3	0	0	0	0	0
229	Aox4	'Aox4	0	0	0	0	0.119224
230	Aox2	'Aox2	0	0	0	0	0
231	Bzw1	'Bzw1	124.344	115.512	99.3011	94.599	91.6134
232	Nif3l1	'Nif3l1	13.0887	11.2868	12.6059	25.2566	12.0784
233	Gm15834	'Gm15834	0	0.0373965	0	0	0.100598
234	Ndufb3	'Ndufb3	72.6247	94.1034	106.337	117.866	143.012
235	Gm10068	'Gm10068	0.0495099	0.122431	0.0310563	0.1714	0.138616
236	Cflar	'Cflar	37.2695	44.1703	18.445	49.0582	45.9059
237	Casp8	'Casp8	20.5874	25.7445	21.3111	59.8651	37.9009
238	Stradb	'Stradb	3.79991	3.67349	6.63165	6.17708	4.49973
239	Gm25502	'Gm25502	0	0	0	0	0
240	G730003C15Rik	'G730003C15Rik	0.189856	0.0469192	0	0.0435012	0.0187608
241	Cdk15	'Cdk15	0.138743	0.308056	0.494529	0.216938	0.20652
242	Fzd7	'Fzd7	0.149051	0	0	0	0
243	Gm973	'Gm973	0	0	0	0	0
244	Gm24545	'Gm24545	0	0	0	0	0
245	Nop58	'Nop58	83.9836	86.4621	61.7022	71.2125	72.1277
246	Snord70	'Snord70	0	0	0	0	0
247	Gm26293	'Gm26293	0	0	0	0	0
248	Gm26287	'Gm26287	0	0	0	0	0
249	Snord11	'Snord11	0	0	0	0	0
250	Bmpr2	'Bmpr2	0.949908	0.228413	2.50853	0.00463432	0.360026
251	Fam117b	'Fam117b	8.64198	9.7577	7.15526	3.59826	4.04829
252	Carf	'Carf	0.261182	0.0910943	0	0.444761	0.394949
253	Gm15464	'Gm15464	0.77806	1.09103	0.172922	1.16738	0.81769
254	Nbeal1	'Nbeal1	2.76354	2.9619	0.460348	1.6759	1.53482
255	Cyp20a1	'Cyp20a1	11.977	7.76677	7.03363	3.90193	7.68419
256	Abi2	'Abi2	5.92446	4.23321	4.80536	0.853228	4.0681
257	Gm11576	'Gm11576	0.291534	0	0	0	0
258	Gm11577	'Gm11577	0	0	0	0	0
259	Eif4a-ps4	'Eif4a-ps4	6.56728	4.97133	8.12266	5.25251	4.87691
260	Cd28	'Cd28	255.653	227.005	237.472	106.719	135.739
261	2310016D23Rik	'2310016D23Rik	0.287245	0.53592	0	0	0
262	Gm11609	'Gm11609	0	0.084663	0	0	0
263	Gm11581	'Gm11581	0	0	0	0	0
264	Ctla4	'Ctla4	362.078	182.088	600.944	3.8514	13.6844
265	Rpl18-ps1	'Rpl18-ps1	5.73086	8.44022	5.43812	15.2816	7.38611
266	Icos	'Icos	1056.02	778.785	1543.51	26.9092	113.91
267	Rpl17-ps1	'Rpl17-ps1	0.0859474	0.585174	0	0.119891	0.0790834
268	Gm11587	'Gm11587	0	0	0	0	0
269	9530026F06Rik	'9530026F06Rik	0	0	0	0.0286829	0
270	Gm11588	'Gm11588	0	0	0	0	0
271	Gm25839	'Gm25839	0	0	0	0	0
272	Pard3b	'Pard3b	0.0377421	0.0435623	0.0295666	0	0.251563
273	Gm11599	'Gm11599	0.0147035	0.0374068	0.133205	0.282644	0.0737193
274	Nrp2	'Nrp2	0.94638	0.142499	0.186636	0.16202	0.492553
275	Gm24942	'Gm24942	0	0	0	0	0
276	Gm11601	'Gm11601	0	0	0	0	0
277	Gm11603	'Gm11603	0	2.29162	0	4.53883	0.319139
278	Gm11602	'Gm11602	0.0973034	0	0	0.0338669	0.303764
279	Ino80d	'Ino80d	0.270974	0	0	0.00479172	0.502145
280	Eef1b2,uc_338	'\Eef1b2,uc_338\	701.139	1047.96	756.312	1905.91	1262.41
281	Gm26457	'Gm26457	0	0	0	0	0
282	Snora41	'Snora41	0	0	0	3.33957	0
283	Gm23611	'Gm23611	21.5223	17.8108	0	29.0045	33.7078
284	Gm11607	'Gm11607	0	0	0	0	0
285	Zdbf2	'Zdbf2	0.175198	0	0	0	0
286	Adam23	'Adam23	0.0495536	0.219051	0.0901878	0	0.118601
287	Gm12748	'Gm12748	0	0	0	0	0
288	Fastkd2	'Fastkd2	10.493	8.54663	9.11523	6.48706	11.4883
289	Gm13754	'Gm13754	0	0	0	0	0
290	Gm13749	'Gm13749	0	0	0	0	0
291	Gm26649	'Gm26649	0.750336	0.647805	1.4628	0.522249	0.548382
292	Gm13748	'Gm13748	0	0	0	0	0
293	Gm13750	'Gm13750	0	0.0619102	0	0.0764305	0
294	Gm25748	'Gm25748	0	0	0	0	0
295	Creb1	'Creb1	3.76278	3.36763	2.10043	10.4405	7.06665
296	Ccnyl1	'Ccnyl1	3.64004	3.20454	3.77687	1.40686	0.359364
297	Rpl31-ps24	'Rpl31-ps24	0	0	0	0	0.12559
298	Gm8550	'Gm8550	0	0	0	0	0
299	Pikfyve	'Pikfyve	0.713306	0.667257	1.20104	1.1324	2.257
300	Pth2r	'Pth2r	0	0	0	0	0
301	Gm8805	'Gm8805	0.131535	0	0	0	0.159344
302	Crygf	'Crygf	0	0	0	0	0
303	Gm15659	'Gm15659	0	0	0	0	0
304	Gm8812	'Gm8812	0	0	0.185409	0	0
305	Map2	'Map2	0	3.53406	0.0300683	0	0.631611
306	Gm24729	'Gm24729	0	0	0	0	0
307	Gm25411	'Gm25411	0	0	0	0	0
308	Unc80	'Unc80	0	0	0	0	0
309	Rpe	'Rpe	11.649	9.38764	4.26803	14.3214	13.7404
310	Gm15789	'Gm15789	0.0630091	0.0562474	3.9093	0	0.189561
311	Gm26010	'Gm26010	0	0	0	0	0
312	Gm25832	'Gm25832	0	0	0	0	0
313	Gm15826	'Gm15826	0	0	0	0	0
314	Cps1	'Cps1	0	0	0	0	0
315	Gm15668	'Gm15668	0	0	0	0	0
316	Gm26342	'Gm26342	0	0	0	0	0
317	Kif22-ps	'Kif22-ps	0	0	0	0	0
318	Gm22548	'Gm22548	0	0	0	0	0
319	Gm15669	'Gm15669	0	0	0	0	0
320	Gm23189	'Gm23189	0	0	0	0	0
321	Gm15671	'Gm15671	0	0	0	0	0
322	Spag16	'Spag16	0	0	0	0	0
323	Gm23422	'Gm23422	0	0	0	0	0
324	Vwc2l	'Vwc2l	0	0	0	0	0
325	Atic	'Atic	11.4632	16.5583	12.3834	31.248	26.1131
326	Apol7d	'Apol7d	0.890959	0.363249	0.907748	0	0
327	Gm5528	'Gm5528	0	0.302761	0.291664	0.262642	0.126707
328	Gm25360	'Gm25360	8.64138	6.26732	19.4783	6.51355	6.2371
329	D230017M19Rik	'D230017M19Rik	0.0387101	0.0436689	0	0.0322211	0.283381
330	Gm23472	'Gm23472	0	0	0	0	0
331	Gm24497	'Gm24497	0	0	0	0	1.35511
332	Gm25939	'Gm25939	9.48417	0	6.87726	16.0262	5.04298
333	Tmem169	'Tmem169	0	0	0	0	0
334	Xrcc5	'Xrcc5	11.4302	13.853	6.19603	18.38	13.2437
335	Gm15843	'Gm15843	0.274351	0.348659	0.128098	0.175242	0.461898
336	Smarcal1	'Smarcal1	2.43132	2.41097	6.09788	5.39541	3.48669
337	Rpl37a	'Rpl37a	5083.7	7102.46	4141.1	10895.7	9392.2
338	Igfbp2	'Igfbp2	0	0	0	0	0
339	Pinc	'Pinc	0	0	0	0	0
340	Gm25329	'Gm25329	0	0	0	0	0
341	Rufy4	'Rufy4	0.153253	0	0	0	0
342	Cxcr2	'Cxcr2	0.614069	0.207603	0.0857141	0.689165	0.459432
343	Gm25524	'Gm25524	0	0	0	0	0
344	Arpc2	'Arpc2	433.598	437.734	431.89	374.223	307.682
345	Gpbar1	'Gpbar1	1.23222	0.871798	0	0	0.0736475
346	Pnkd	'Pnkd	46.225	57.117	98.5788	88.7133	88.0785
347	Gm216	'Gm216	0.144946	0.391159	0.106817	0	0
348	Slc11a1	'Slc11a1	14.052	15.1967	44.9089	0	0.112639
349	Ctdsp1	'Ctdsp1	15.2531	13.4036	16.3366	13.8624	21.1247
350	Mir26b	'Mir26b	0	0	0	0	0
351	Vil1	'Vil1	0.0532758	0	0	0.00813045	0
352	Rqcd1	'Rqcd1	18.2406	14.5104	18.7082	13.493	14.7885
353	Plcd4	'Plcd4	0.517481	0	0	0.0981373	0.0265814
354	Bcs1l	'Bcs1l	1.65679	1.76931	3.69456	11.4605	6.61455
355	Stk36	'Stk36	0	0	0	0	0
356	Ttll4	'Ttll4	1.21149	2.71883	0.0605105	1.06422	1.44282
357	Cyp27a1	'Cyp27a1	1.64142	1.46292	0.0556822	0	0.183213
358	ZNFX1-AS1_2	'ZNFX1-AS1_2	0	0	0	0	0
359	Wnt6	'Wnt6	0	0	0.227306	0	0
360	Wnt10a	'Wnt10a	0.0675675	0.0235544	0	0	0.709688
361	Gm16582	'Gm16582	0	0	0	0	0
362	Cdk5r2	'Cdk5r2	0	0	0	0	0
363	Gm15841	'Gm15841	0	0	0	0	0
364	Fam134a	'Fam134a	17.2024	10.7828	20.8072	12.0845	14.0999
365	Zfand2b	'Zfand2b	31.3419	27.4438	34.0135	33.0197	20.1649
366	Ankzf1	'Ankzf1	1.75141	3.12009	13.0816	4.4622	2.80532
367	Stk16	'Stk16	25.7151	32.5781	64.3975	21.0488	15.9573
368	Dnajb2	'Dnajb2	6.78573	8.46382	9.49003	1.69093	2.16013
369	Des	'Des	0	0	0	0	0.00472337
370	Speg	'Speg	0	0	0	0	0.0174811
371	Gmppa	'Gmppa	20.4301	24.7762	21.0079	16.838	23.0913
372	Asic4	'Asic4	0	0	0	0	0
373	Tmem198	'Tmem198	0.821166	0	0	0.0145105	0
374	Inha	'Inha	0	0.617579	0	0	0
375	Stk11ip	'Stk11ip	3.96587	2.01319	2.13132	1.77275	5.5682
376	Gm15183	'Gm15183	0	0	0	0	0
377	Slc4a3	'Slc4a3	0	0	0	0	0.0819032
378	Gm15180	'Gm15180	0	0	0	0	0
379	Gm15182	'Gm15182	0	0	0	0	0
380	Gm5257	'Gm5257	0.0553155	0	0	0	0
381	mmu-mir-6343	'mmu-mir-6343	0	0	0	0	0
382	Gm25974	'Gm25974	0	0	0	0	0
383	Sgpp2	'Sgpp2	0.216404	0.651576	0.10079	0.034888	0.882349
384	Mogat1	'Mogat1	0.164475	0	0	0	0
385	Acsl3,Utp14b	'\Acsl3,Utp14b\	1.24291	5.55449	3.3368	2.7126	1.49673
386	Kcne4	'Kcne4	0	0	0	0	0
387	AC166333.1	'AC166333.1	0	0	0	0	0
388	Mrpl44	'Mrpl44	32.6134	25.1106	60.6192	32.4977	38.2811
389	Gm23934	'Gm23934	0	0	0	0	0
390	Nyap2	'Nyap2	0	0	0	0	0
391	mmu-mir-6344	'mmu-mir-6344	0	0	0	0	0
392	Gm9747	'Gm9747	0	0	0	0	0
393	Rhbdd1	'Rhbdd1	5.65554	6.47424	6.82118	1.85541	4.47072
394	Col4a3	'Col4a3	0	0.398787	0	0	0
395	n-R5s213	'n-R5s213	0	0	0	0	0
396	Mff	'Mff	33.8962	27.7613	25.0235	36.0967	33.8214
397	Agfg1,Gm22396	'\Agfg1,Gm22396\	8.03307	5.43028	11.7603	12.9936	9.40667
398	Ccl20	'Ccl20	5.18154	5.92156	31.3149	0	0
399	Daw1	'Daw1	0	0	0	0	0
400	Gm6374	'Gm6374	0	0	0	0	0.0215615
401	Gm25754	'Gm25754	0	0	0	0	0
402	Gm24555	'Gm24555	0	0	0	0	0
403	Mir5126	'Mir5126	0	0	0	0	0
404	Fbxo36	'Fbxo36	0.566431	0.174333	10.5878	0.947949	1.23213
405	Gm15433	'Gm15433	0.132743	0.477787	0.0654325	0	0.48017
406	Rpl19-ps1	'Rpl19-ps1	36.0279	57.8184	43.5806	64.3714	60.9464
407	Gm2389	'Gm2389	0	0	0	0	0.368245
408	Gm10553	'Gm10553	0.0553777	0	0	0	0.313219
409	A530040E14Rik	'A530040E14Rik	3.49256	6.58357	6.91448	1.62345	12.8741
410	Gm16038	'Gm16038	0	0	0	0	0
411	Gm6264	'Gm6264	0.586984	0.632064	0.204809	0.386692	0.993613
412	Gm7609	'Gm7609	0.883628	0.739296	0.643149	0.486268	2.1667
413	Gm16028	'Gm16028	0.431583	0.0368138	0	0.462188	3.39708
414	Gm16026	'Gm16026	1.70483	1.25651	3.44143	0.305862	2.51977
415	Gm16025	'Gm16025	0.0281854	0	0	0	0.0592677
416	Gm7592	'Gm7592	1.09136	0.930958	1.07343	0.0445435	4.01302
417	G530012D18Rik	'G530012D18Rik	0.0456045	0	0	0	0
418	Gm16094	'Gm16094	1.29883	2.76631	0.350721	0	1.91553
419	Sp140	'Sp140	13.3324	23.252	20.9049	18.1001	38.4809
420	Sp100,n-R5s215	'\Sp100,n-R5s215\	98.5227	129.94	97.6977	338.612	242.586
421	A630001G21Rik	'A630001G21Rik	0.155708	0.201145	0	0.299753	0.9104
422	mmu-mir-8096	'mmu-mir-8096	0.0888019	0	0	0.125307	0.2796
423	Gm25472	'Gm25472	0	0	0	0	0
424	Gm22906	'Gm22906	0.915833	0.773981	0.475836	3.51034	1.40401
